Drug,KW_stat,p_value,p_fdr,significant_fdr
BIIB-057 (BRD:BRD-K53734668-003-02-0),7.680500658761531,0.021488221538564698,0.3942367624841866,False
DICLAZURIL (BRD:BRD-A06426627-001-03-5),7.582653061224477,0.022565647965330074,0.3942367624841866,False
VINDESINE (BRD:BRD-K59753975-001-02-6),7.564558629776016,0.02277073056482046,0.3942367624841866,False
GILTERITINIB (BRD:BRD-K72280606-001-01-2),7.563360881542698,0.02278437145015205,0.3942367624841866,False
EMETINE (BRD:BRD-A25687296-300-04-3),7.50918367346938,0.023410003763032042,0.3942367624841866,False
DACLATASVIR (BRD:BRD-K82861010-001-02-5),7.503759398496243,0.02347358108805045,0.3942367624841866,False
DIHYDROARTEMISININ (BRD:BRD-K62213621-001-01-6),7.478532396565185,0.023771540329918937,0.3942367624841866,False
LITRONESIB (BRD:BRD-K83029223-001-01-3),7.449298976885174,0.024121553828622494,0.3942367624841866,False
CR8-(R) (BRD:BRD-K40331046-305-01-5),7.42160737812911,0.024457858856967836,0.3942367624841866,False
NAN-190 (BRD:BRD-K69195780-004-08-4),7.403163841807907,0.02468444672567868,0.3942367624841866,False
PIK-75 (BRD:BRD-K49371609-003-03-8),7.366271409749672,0.025144006904845948,0.3942367624841866,False
SPIRONOLACTONE (BRD:BRD-K90027355-001-13-3),7.350453514739215,0.02534365800987757,0.3942367624841866,False
DEFACTINIB (BRD:BRD-K43578482-001-01-4),7.337755102040816,0.025505082039179266,0.3942367624841866,False
XANOMELINE (BRD:BRD-K72815923-034-01-2),7.316864295125157,0.025772889153027445,0.3942367624841866,False
NMS-E973 (BRD:BRD-K58770988-001-01-8),7.31673881673882,0.025774506174023305,0.3942367624841866,False
DROSPIRENONE (BRD:BRD-K04394237-001-03-7),7.289004404014165,0.026134416276332593,0.3942367624841866,False
GOLGICIDE-A (BRD:BRD-A57886255-001-01-1),7.27997364953886,0.026252689848651253,0.3942367624841866,False
NIRAPARIB (BRD:BRD-K54955827-001-02-2),7.215729958516703,0.027109664819812217,0.3942367624841866,False
IBRUTINIB (BRD:BRD-K70301465-001-05-9),7.179765062523671,0.027601572554720368,0.3942367624841866,False
AB1010 (BRD:BRD-K71035033-001-07-1),7.1721074380165195,0.02770745636920606,0.3942367624841866,False
VINFLUNINE (BRD:BRD-K64120610-001-01-4),7.15876152832675,0.027892965232191314,0.3942367624841866,False
BREQUINAR (BRD:BRD-K96123349-236-02-8),7.154641909814316,0.02795047863314285,0.3942367624841866,False
METHYLPHENIDATE (BRD:BRD-A19585813-003-03-3),7.112815596037066,0.02854116642266668,0.3942367624841866,False
AZD8330 (BRD:BRD-K37687095-001-06-9),7.105401844532281,0.02864716131399783,0.3942367624841866,False
FLUROXENE (BRD:BRD-K56908511-001-01-2),7.056738849385905,0.02935273871801276,0.3942367624841866,False
CABAZITAXEL (BRD:BRD-K06858286-001-01-3),7.042819499341249,0.029557736772968572,0.3942367624841866,False
FILANESIB (BRD:BRD-K37379014-001-02-0),7.0345964380447015,0.029679514488457907,0.3942367624841866,False
PHENELZINE (BRD:BRD-K87024524-065-17-7),7.017979591836724,0.029927131682141363,0.3942367624841866,False
DOCETAXEL (BRD:BRD-K30577245-001-05-0),7.017885562713133,0.029928538726198706,0.3942367624841866,False
INIPARIB (BRD:BRD-K11153516-001-05-5),6.97558895550113,0.03056821676111513,0.3942367624841866,False
BI-2536 (BRD:BRD-K64890080-001-13-8),6.963768115942031,0.03074942272824544,0.3942367624841866,False
ZARDAVERINE (BRD:BRD-K37561857-001-15-5),6.946608946608947,0.031014374968836918,0.3942367624841866,False
IDRONOXIL (BRD:BRD-K74671368-001-01-8),6.941197691197701,0.03109840194261995,0.3942367624841866,False
SB-218078 (BRD:BRD-A06352508-001-03-7),6.922965850841111,0.031383188566321496,0.3942367624841866,False
SELINEXOR (BRD:BRD-K21361524-001-01-1),6.915223665223678,0.031504911249792676,0.3942367624841866,False
GSK-J4 (BRD:BRD-K98203492-003-04-1),6.902503293807641,0.03170592690688799,0.3942367624841866,False
AMG-337 (BRD:BRD-K27061362-001-01-6),6.895994469306764,0.031809279148006415,0.3942367624841866,False
PRAZOSIN (BRD:BRD-K49111258-003-29-7),6.888435374149658,0.03192973131594757,0.3942367624841866,False
AZ20 (BRD:BRD-K42436189-001-01-2),6.878427128427134,0.03208991206218644,0.3942367624841866,False
OLVEREMBATINIB (BRD:BRD-K35329391-334-01-7),6.8632756132756185,0.03233394064016278,0.3942367624841866,False
CGP-52411 (BRD:BRD-K13087974-001-02-5),6.788961038961048,0.0335579823630644,0.40264355302071675,False
FLUDARABINE-PHOSPHATE (BRD:BRD-K71106091-001-06-1),6.784710899285081,0.03362937124552262,0.40264355302071675,False
CEPHALOMANNINE (BRD:BRD-K68904758-001-03-5),6.757575757575751,0.03408874939871518,0.4044995352758257,False
IXAZOMIB (BRD:BRD-K78659596-001-03-9),6.736495388669297,0.03444995132865482,0.4051680116440907,False
GAMBOGIC-ACID (BRD:BRD-K08542803-001-02-3),6.712656309208015,0.03486303589040612,0.4059726595122695,False
YM-976 (BRD:BRD-K12932420-001-02-3),6.692857142857136,0.035209879384359044,0.4059726595122695,False
GENZ-644282 (BRD:BRD-K99475619-001-01-2),6.653318903318905,0.03591287360030123,0.4059726595122695,False
OLAPARIB (BRD:BRD-K02113016-001-19-6),6.647176960970057,0.036023330518115126,0.4059726595122695,False
NSC-632839 (BRD:BRD-K81197548-003-01-4),6.644548872180451,0.0360706978882624,0.4059726595122695,False
KPT-276 (BRD:BRD-K75352575-001-01-3),6.628458498023704,0.03636206387620714,0.4059726595122695,False
BIIB021 (BRD:BRD-K51967704-001-03-6),6.581811292156118,0.03722012586671364,0.4059726595122695,False
SODIUM-STIBOGLUCONATE (BRD:BRD-A60786380-412-01-5),6.542929292929301,0.037950801841719325,0.4059726595122695,False
ISPINESIB (BRD:BRD-K64881305-001-03-7),6.541341417203498,0.03798094438429853,0.4059726595122695,False
CINROMIDE (BRD:BRD-K66241279-001-01-8),6.539130434782611,0.038022955201495796,0.4059726595122695,False
VENETOCLAX (BRD:BRD-K62391742-001-09-7),6.533758338258878,0.03812522398217822,0.4059726595122695,False
VU0364770 (BRD:BRD-K66527818-001-02-6),6.53003766478342,0.038196215750809705,0.4059726595122695,False
METHSCOPOLAMINE (BRD:BRD-A03932035-004-04-3),6.51473922902494,0.038489507222382216,0.4059726595122695,False
PEPSTATIN (BRD:BRD-K13571841-001-14-4),6.490350877192981,0.03896172836671301,0.4077176141682015,False
